AZ;Z_I;Z_II;S_I;S_II;ÖR_I;ÖR_II;WPF;Dur
0083/18;4,00;4,00;;2,00;5,00;6,00;4,00;
0084/18;2,00;1,00;3,00;4,00;4,00;8,00;7,00;4,14
0085/18;4,00;4,00;6,00;5,00;5,00;2,00;3,00;4,14
0086/18;8,00;5,00;5,00;6,00;7,00;9,00;4,00;6,28
0087/18;8,00;4,00;6,00;3,00;12,00;8,00;4,00;6,42
0088/18;3,00;4,00;6,00;5,00;7,00;2,00;4,00;4,42
0089/18;1,00;2,00;1,00;7,00;5,00;3,00;3,00;3,14
0090/18;4,00;8,00;8,00;8,00;4,00;7,00;5,00;6,28
0091/18;3,00;9,00;6,00;5,00;10,00;5,00;9,00;6,71
0092/18;2,00;3,00;2,00;1,00;6,00;8,00;4,00;3,71
0093/18;5,00;4,00;5,00;3,00;2,00;5,00;4,00;4,00
0094/18;4,00;3,00;6,00;4,00;7,00;5,00;4,00;4,71
0095/18;4,00;3,00;5,00;6,00;3,00;4,00;4,00;4,14
0096/18;4,00;4,00;6,00;3,00;4,00;4,00;4,00;4,14
0097/18;2,00;4,00;3,00;2,00;4,00;2,00;1,00;2,57
0098/18;5,00;8,00;5,00;8,00;6,00;8,00;5,00;6,42
0099/18;8,00;4,00;6,00;5,00;8,00;7,00;4,00;6,00
0100/18;3,50;3,00;6,00;5,00;9,00;7,00;7,00;5,78
0101/18;1,00;1,00;5,00;5,00;3,00;5,00;4,00;3,42
0102/18;4,00;12,00;6,00;6,00;5,00;5,00;5,00;6,14
0103/18;6,00;5,00;4,00;2,00;5,00;6,00;7,00;5,00
0104/18;4,00;3,00;7,00;4,00;6,00;9,00;2,00;5,00
0105/18;6,00;4,00;8,00;7,00;2,00;6,00;7,00;5,71
0106/18;5,00;4,00;8,00;7,00;5,00;7,00;5,00;5,85
0107/18;3,00;4,00;2,00;5,00;3,00;4,00;4,00;3,57
0108/18;5,00;5,00;7,00;5,00;10,00;4,00;6,00;6,00
0109/18;7,00;5,00;5,00;8,00;8,00;8,00;8,00;7,00
0111/18;3,00;4,00;5,00;9,00;6,00;4,00;8,00;5,57
0112/18;6,00;7,00;5,00;3,00;3,00;8,00;8,00;5,71
0113/18;3,00;7,00;4,00;3,00;6,00;4,00;2,00;4,14
0114/18;2,00;3,00;6,00;9,00;6,00;5,00;2,00;4,71
0115/18;5,00;8,00;7,00;7,00;3,00;6,00;5,00;5,85
0116/18;5,00;2,00;4,00;8,00;6,00;7,00;3,00;5,00
0118/18;3,00;4,00;6,00;4,00;7,00;9,00;3,00;5,14
0119/18;2,00;4,00;6,00;5,00;2,00;6,00;3,00;4,00
0120/18;4,50;5,00;4,00;7,00;6,00;9,00;10,00;6,50
0122/18;4,00;5,00;6,00;5,00;5,00;6,00;4,00;5,00
0123/18;2,00;3,00;1,00;2,00;10,00;3,00;2,00;3,28
0124/18;6,00;10,00;5,00;6,00;5,00;5,00;8,00;6,42
0125/18;6,00;10,00;8,00;9,00;10,00;8,00;5,00;8,00
0126/18;8,00;9,00;5,00;8,00;3,00;7,00;6,00;6,57
0127/18;4,00;10,00;5,00;5,00;6,00;5,00;6,00;5,85
0128/18;5,00;5,00;4,00;8,00;6,00;3,00;5,00;5,14
0129/18;7,00;6,00;6,00;10,00;4,00;9,00;5,00;6,71
0130/18;13,00;13,00;12,00;13,00;10,00;6,00;14,00;11,57
0131/18;7,00;12,00;5,00;7,00;11,00;6,00;7,00;7,85
0132/18;7,00;8,00;5,00;9,00;6,00;7,00;8,00;7,14
0133/18;7,00;13,00;9,00;14,00;9,00;5,00;7,00;9,14
0135/18;3,00;4,00;8,00;6,00;7,00;10,00;3,00;5,85
0136/18;7,00;7,00;11,00;11,00;11,00;8,00;6,00;8,71
0137/18;5,00;6,00;5,00;8,00;12,00;7,00;5,00;6,85
0138/18;4,00;5,00;3,00;6,00;5,00;3,00;3,00;4,14
0139/18;12,00;8,00;10,00;6,00;8,00;3,00;6,00;7,57
0140/18;9,00;5,00;6,00;9,00;4,00;9,00;2,00;6,28
0141/18;3,00;5,00;3,00;2,00;3,00;3,00;4,00;3,28
0143/18;10,00;8,00;9,00;9,00;9,00;9,00;8,00;8,85
0144/18;6,00;5,00;8,00;8,00;11,00;9,00;7,00;7,71
0145/18;6,00;8,00;8,00;4,00;9,00;6,00;8,00;7,00
0146/18;13,00;11,00;9,00;8,00;9,00;9,00;8,00;9,57
0147/18;6,00;6,00;4,00;3,00;6,00;5,00;5,00;5,00
0148/18;8,00;5,00;8,00;9,00;10,00;8,00;9,00;8,14
0149/18;7,00;7,00;5,00;13,00;12,00;8,00;10,00;8,85
0150/18;4,00;4,00;8,00;4,00;2,00;5,00;5,00;4,57
