AZ;Z I;Z II;S I;S II;OR I;OR II;WPF;Dur
1166/17;13,00;8,00;3,00;7,00;4,00;6,00;6,50;6,78
0919/17;6,00;7,00;7,00;8,00;6,00;6,00;7,00;6,71
0926/17;6,00;4,00;9,00;7,00;3,00;8,00;10,00;6,71
0951/17;8,00;8,00;4,00;3,00;11,00;4,00;9,00;6,71
0994/17;9,00;7,00;5,00;4,00;5,00;9,00;8,00;6,71
1016/17;7,00;2,00;7,00;11,00;5,00;10,00;5,00;6,71
1130/17;4,00;12,00;6,00;5,00;6,00;7,00;7,00;6,71
1163/17;7,00;7,00;4,00;8,00;5,00;8,00;8,00;6,71
0944/17;4,00;7,00;9,00;6,00;6,00;9,00;5,00;6,57
1091/17;7,00;8,00;4,00;6,00;6,00;6,00;9,00;6,57
1106/17;6,00;5,00;8,00;8,00;7,00;9,00;3,00;6,57
1122/17;7,00;7,00;9,00;6,00;4,00;5,00;8,00;6,57
0754/16;8,00;12,00;5,00;5,00;6,00;2,00;7,00;6,42
0950/17;8,00;11,00;6,00;4,00;3,00;8,00;5,00;6,42
0986/17;7,00;7,00;3,00;10,00;7,00;6,00;5,00;6,42
1027/17;2,00;4,00;8,00;9,00;4,00;8,00;10,00;6,42
1030/17;9,00;6,00;6,00;3,00;7,00;5,00;9,00;6,42
1036/17;7,00;7,00;9,00;5,00;6,00;7,00;4,00;6,42
1119/17;6,00;7,00;9,00;6,00;3,00;8,00;6,00;6,42
1120/17;7,00;9,00;5,00;5,00;7,00;6,00;6,00;6,42
1168/17;6,00;4,00;8,00;7,00;6,00;6,00;8,00;6,42
0938/17;6,00;8,00;10,00;5,00;6,00;3,00;6,50;6,35
1052/17;5,00;3,00;4,00;10,00;9,00;7,00;6,50;6,35
0974/17;7,00;3,00;5,00;9,00;8,00;6,00;6,00;6,28
1148/17;6,00;4,00;11,00;6,00;6,00;4,00;7,00;6,28
0953/17;5,00;3,00;6,00;5,00;12,00;7,00;5,00;6,14
0965/17;6,00;10,00;8,00;6,00;5,00;2,00;6,00;6,14
1095/17;7,00;6,00;6,00;9,00;3,00;7,00;5,00;6,14
1116/17;5,00;4,00;10,00;4,00;7,00;5,00;8,00;6,14
1127/17;6,00;2,00;14,00;6,00;7,00;6,00;2,00;6,14
1142/17;6,00;7,00;10,00;3,00;8,00;3,00;6,00;6,14
0908/17;10,00;4,00;6,00;9,00;4,00;4,00;5,00;6,00
0967/17;10,00;4,00;6,00;6,00;4,00;4,00;8,00;6,00
0987/17;5,00;11,00;6,00;7,00;7,00;2,00;4,00;6,00
0992/17;4,00;6,00;6,00;3,00;7,00;10,00;6,00;6,00
1049/17;8,00;4,00;4,00;7,00;7,00;6,00;6,00;6,00
0949/17;3,00;8,00;7,00;5,00;6,00;5,00;7,00;5,85
0980/17;6,00;9,00;2,00;3,00;6,00;8,00;7,00;5,85
1085/17;7,00;4,00;10,00;4,00;4,00;6,00;6,00;5,85
1113/17;8,00;5,00;5,00;7,00;4,00;5,00;7,00;5,85
1115/17;7,00;4,00;7,00;3,00;5,00;9,00;6,00;5,85
1161/17;6,00;9,00;5,00;10,00;3,00;4,00;4,00;5,85
1114/17;6,00;5,00;8,00;3,00;5,00;6,00;7,00;5,71
1157/17;9,50;4,00;2,00;5,00;9,00;5,00;5,00;5,64
0942/17;5,00;3,00;8,00;4,00;7,00;9,00;3,00;5,57
0952/17;7,00;7,00;4,00;7,00;4,00;4,00;6,00;5,57
0970/17;3,00;6,00;5,00;4,00;9,00;4,00;8,00;5,57
0975/17;13,00;3,00;3,00;6,00;5,00;6,00;3,00;5,57
1149/17;6,00;8,00;3,00;6,00;6,00;2,00;8,00;5,57
